product_id,product_name,upc,vendor,sku,price,in_stock,has_variants,product_url,product_cart_id,quantity_10Apr2023,quantity_13Apr2023,quantity_28Apr2023,quantity_25May2023,quantity_26May2023
232433,3/4“ Blue Furniture Grade PVC End Cap,,Bulk Reef Supply,232433,1.82,False,True,https://www.bulkreefsupply.com/blue-furniture-grade-pvc-end-cap.html,13761,,,,0,
232466,1“ Blue Furniture Grade 90° Elbow Fitting Slip X Slip,,Bulk Reef Supply,232466,3.19,False,True,https://www.bulkreefsupply.com/blue-furniture-grade-90-elbow-fitting-slip-x-slip.html,13691,,,,0,
232434,3/4“ Blue Furniture Grade External Coupling Fitting Slip X Slip,,Bulk Reef Supply,232434,2.64,False,True,https://www.bulkreefsupply.com/blue-furniture-grade-external-coupling-fitting-slip-x-slip.html,13796,,,,0,
232469,1“ Blue Furniture Grade External Coupling Fitting Slip X Slip,,Bulk Reef Supply,232469,3.41,False,True,https://www.bulkreefsupply.com/blue-furniture-grade-external-coupling-fitting-slip-x-slip.html,13797,,,,0,
232443,3/4“ Violet Furniture Grade PVC End Cap,,Bulk Reef Supply,232443,1.82,False,True,https://www.bulkreefsupply.com/violet-furniture-grade-pvc-end-cap.html,13771,,,,0,
232351OB,Trio Supplement Storage - 3 Part Dosing Container (OPEN BOX),,ReefBreeders,232351OB,76.49,False,False,https://www.bulkreefsupply.com/trio-supplement-storage-3-part-dosing-container-reefbreeders-ob-a.html,15491,,,,0,
252322,Black INFINIA Frag 125.4 Aquarium System (78 Gallons) - Waterbox,,Waterbox Aquariums,252322,2699,False,True,https://www.bulkreefsupply.com/infinia-frag-125-4-aquarium-system-78-gallons-waterbox.html,15971,,,,0,
252321,White INFINIA Frag 125.4 Aquarium System (78 Gallons) - Waterbox,,Waterbox Aquariums,252321,2699,False,True,https://www.bulkreefsupply.com/infinia-frag-125-4-aquarium-system-78-gallons-waterbox.html,15970,,,,0,
252050OB,Red Sea Reefer XXL Ultimate Return Line Dual 3/4“ Flex Series RFG Upgrade Kit (OPEN BOX),,Vivid Creative Aquatics,252050OB,53.99,False,False,https://www.bulkreefsupply.com/red-sea-reefer-xxl-ultimate-return-line-dual-3-4-flex-series-rfg-upgrade-kit-vivid-creative-aquatics-ob-a.html,16146,,,,0,
202671,3/4” Schedule 80 90° Elbow Barb x Female Thread,,Bulk Reef Supply,202671,3.04,True,True,https://www.bulkreefsupply.com/schedule-80-90-elbow-barb-x-female-thread-1-1bd413de70f32142f4a33a94134c5690.html,284,5,0,0,43,
203003,35 mm Diamond Coated Glass Drill Bit,,THK Diamond Tools,203003,16.59,True,True,https://www.bulkreefsupply.com/diamond-coated-glass-drill-bits.html,801,12,46,37,14,
202711,1” Schedule 80 Cap,,Bulk Reef Supply,202711,5.06,True,True,https://www.bulkreefsupply.com/schedule-80-cap-1-d7e8c82ac1c68ac300294f69470c103f.html,316,19,18,38,50,
205100,Salifert Calcium Aquarium Test Kit,8714079130347,Salifert,205100,15.61,True,False,https://www.bulkreefsupply.com/salifert-calcium-aquarium-test-kit.html,674,,,,489,
210008,1 1/4” Schedule 80 Cap,,Bulk Reef Supply,210008,5.8,True,True,https://www.bulkreefsupply.com/schedule-80-cap-1-d7e8c82ac1c68ac300294f69470c103f.html,5424,19,18,20,20,
205106,Salifert Phosphate Aquarium Test Kit,8714079130361,Salifert,205106,16.28,False,False,https://www.bulkreefsupply.com/salifert-phosphate-aquarium-test-kit.html,680,144,125,0,0,
200901OB,20“ x 5“ Big Blue (Clear) Reverse Osmosis Canister 1“ Ports (OPEN BOX),,Bulk Reef Supply,200901OB,84.99,False,True,https://www.bulkreefsupply.com/reverse-osmosis-canisters.html,11570,71,27,0,0,
202929,1 1/4” Bulkhead Schedule 80 Slip x Thread,,Bulk Reef Supply,202929,19,False,True,https://www.bulkreefsupply.com/bulkhead-schedule-80-slip-x-thread-slip-on-the-flange-head-side-1-3c30bc3ec05967d33995f258b184fabb.html,5319,28,101,0,0,
204354,10 Ft T5/ATI Cable Hanging Kit - ATI,,ATI,204354,49.99,False,True,https://www.bulkreefsupply.com/sunpower-t5-ati-powermodule-cable-hanging-kit.html,1647,4,4,0,0,
213893,5L Pohl‘s Xtra Concentrate - Korallen-Zucht,,Korallen-Zucht,213893,371.27,False,True,https://www.bulkreefsupply.com/korallen-zucht-pohl-s-xtra-concentrate.html,11749,47,27,0,0,
207021,54W Korallen-Zucht Fiji Purple HO T5 Lamp,,Korallen-Zucht,207021,28.07,False,True,https://www.bulkreefsupply.com/korallen-zucht-fiji-purple-high-output-t5-lamp.html,1237,12,12,0,0,
207022,80W Korallen-Zucht Fiji Purple HO T5 Lamp,,Korallen-Zucht,207022,33.67,False,True,https://www.bulkreefsupply.com/korallen-zucht-fiji-purple-high-output-t5-lamp.html,1238,12,12,10,0,
204342,80W 60” T5 Aquablue Special - ATI,,ATI,204342,26.95,False,True,https://www.bulkreefsupply.com/t5-ati-aquablue-special.html,1123,20,20,11,0,
200812,RO Pal ⅝“ (OD) Pipe x 1/4“ Push Connect - G.A. Murdock (DISCONTINUED),,G.A. Murdock,200812,14.24,False,True,https://www.bulkreefsupply.com/mur-lok-ro-pal-pipe-x-push-connect.html,123,4,18,0,0,
205961,4“ SOCK-it Filter Sock Holder with Filter Sock - CPR Aquatics (DISCONTINUED),,CPR Aquatics,205961,26.55,False,True,https://www.bulkreefsupply.com/cpr-sockit-4-sock-it-filter-sock-holder.html,1352,0,0,0,0,
232338,LumenBar V2 Royal Ice LED Strip Light - 24 inch - ReefBreeders,,ReefBreeders,232338,169.99,True,True,https://www.bulkreefsupply.com/lumenbar-v2-royal-ice-led-strip-light-reefbreeders.html,13509,,,,12,
232391,1/2“ Yellow Furniture Grade 90° Elbow Fitting Slip X Slip,,Bulk Reef Supply,232391,1.89,True,True,https://www.bulkreefsupply.com/yellow-furniture-grade-90-elbow-fitting-slip-x-slip.html,13674,,,,20,
207666,"1000 mL Ultra Phos 0,04 - Fauna Marin (DISCONTINUED)",,Fauna Marin,207666,29.99,False,True,https://www.bulkreefsupply.com/fauna-marin-ultra-phos-0-04-phosphate-remover.html,2612,0,0,0,0,
208354,3/4“ x 46“ Yellow Schedule 40 Pipe,,Bulk Reef Supply,208354,10.49,False,True,https://www.bulkreefsupply.com/yellow-schedule-40-pipe-5-ft.html,3430,7,242,0,0,
208484,6-Piece Black Measuring Cups (DISCONTINUED),719812041100,OXO,208484,8.29,False,False,https://www.bulkreefsupply.com/6-piece-measuring-cups-black-1.html,4033,2,0,0,0,
211136,Replacement QPS 6.0 Skimmer Pump - Skimz,,Skimz,211136,143.17,False,True,https://www.bulkreefsupply.com/skimz-replacement-skimmer-pump.html,6885,0,0,0,0,
211137,Replacement QPS 9.0 Skimmer Pump - Skimz,,Skimz,211137,150.8,False,True,https://www.bulkreefsupply.com/skimz-replacement-skimmer-pump.html,6886,0,0,0,0,
210752,ASP4000 Replacement Messner Skimmer Pump to go with SC205i/SC255i - Skimz (DISCONTINUED),,Skimz,210752,286.34,False,True,https://www.bulkreefsupply.com/skimz-replacement-skimmer-pump.html,6495,0,0,0,0,
252411,Shrimp Cuisine Freshwater Shrimp Food,0 42055 19404 4,Hikari,252411,4.79,True,False,https://www.bulkreefsupply.com/shrimp-cuisine-freshwater-shrimp-food-hikari.html,16124,,,,144,
252027,LiquidArt AIO Acrylic Aquarium w/ Black Cabinet (75 Gallons) - LiquidArt,,LiquidArt,252027,1999,True,True,https://www.bulkreefsupply.com/liquidart-aio-acrylic-aquarium-w-cabinet-75-gallons-liquidart.html,16063,,,,4,
232617OB,ConeS Q-5 In-Sump Protein Skimmer (OPEN BOX),,AquaMaxx,232617OB,580.99,True,False,https://www.bulkreefsupply.com/aquamaxx-cones-q-5-in-sump-protein-skimmer-ob-a.html,16143,,,,1,
210034,1 1/4“ Schedule 40 End Cap - White (DISCONTINUED),,Bulk Reef Supply,210034,1.12,False,True,https://www.bulkreefsupply.com/schedule-40-pvc-end-cap.html,5434,6,6,0,0,
210036,1 1/4“ Schedule 40 Tee - White,,Bulk Reef Supply,210036,2.47,False,True,https://www.bulkreefsupply.com/schedule-40-tee-slip-x-slip-x-slip.html,5436,1,60,0,0,
208317,1 1/2“ Schedule 40 Tee - White,,Bulk Reef Supply,208317,3.33,False,True,https://www.bulkreefsupply.com/schedule-40-tee-slip-x-slip-x-slip.html,3351,1,60,1,0,
208338,1/2“ x 46“ Red Schedule 40 Pipe,,Bulk Reef Supply,208338,9.54,False,True,https://www.bulkreefsupply.com/red-schedule-40-pipe-5-ft.html,3411,53,51,0,0,
208339,3/4“ x 46“ Red Schedule 40 Pipe,,Bulk Reef Supply,208339,10.49,False,True,https://www.bulkreefsupply.com/red-schedule-40-pipe-5-ft.html,3412,53,51,10,0,
210043,1 1/4“ x 46“ Red Schedule 40 Pipe,,Bulk Reef Supply,210043,14.78,False,True,https://www.bulkreefsupply.com/red-schedule-40-pipe-5-ft.html,5407,53,51,0,0,
208341,1 1/2“ x 46“ Red Schedule 40 Pipe,,Bulk Reef Supply,208341,15.26,False,True,https://www.bulkreefsupply.com/red-schedule-40-pipe-5-ft.html,3414,53,51,16,0,
209327,FerroxiPhos-G - Uniform-graded Granular Ferric Oxide 300 g - Brightwell Aquatics,,Brightwell Aquatics,209327,13.9,False,True,https://www.bulkreefsupply.com/ferroxiphos-g-uniform-graded-granular-ferric-oxide-brightwell-aquatics.html,4630,1,0,0,0,
209329,FerroxiPhos-G - Uniform-graded Granular Ferric Oxide 1.2 kg - Brightwell Aquatics,,Brightwell Aquatics,209329,46.15,False,True,https://www.bulkreefsupply.com/ferroxiphos-g-uniform-graded-granular-ferric-oxide-brightwell-aquatics.html,4632,1,1,0,0,
212979OB,10 gallon Dreambox Water Tank (OPEN BOX),,Royal Exclusiv,212979OB,321.99,True,False,https://www.bulkreefsupply.com/10-gallon-dreambox-water-tank-royal-exclusiv-ob-a.html,16142,,,,1,
211403,Strontion - 2L - Brightwell Aquatics (DISCONTINUED),,Brightwell Aquatics,211403,33.73,False,True,https://www.bulkreefsupply.com/strontion-liquid-strontium-supplement-brightwell-aquatics.html,7363,1,0,0,0,
252424,Sinking Carnivore Pellets Fish Food - 2.61 oz,0 42055 21915 0,Hikari,252424,8.49,True,False,https://www.bulkreefsupply.com/sinking-carnivore-pellets-fish-food-2-61-oz-hikari.html,16139,,,,143,
